Date,Average Daily Expenditure on Medicine B in Dollars
5/22/2013,314.0006435
5/23/2013,208.8193024
5/24/2013,240.9320294
5/25/2013,214.6574268
5/26/2013,188.8422462
5/27/2013,160.5099554
5/28/2013,240.9754418
5/29/2013,202.2527009
5/30/2013,285.8389543
5/31/2013,238.4983178
6/1/2013,206.86054
6/2/2013,201.77433
6/3/2013,175.6212754
6/4/2013,163.7174255
6/5/2013,206.6752033
6/6/2013,222.8258175
6/7/2013,241.863499
6/8/2013,235.9130455
6/9/2013,215.1057234
6/10/2013,245.5489525
6/11/2013,289.5309626
6/12/2013,222.2790531
6/13/2013,220.3359528
6/14/2013,237.3667876
6/15/2013,255.5881724
6/16/2013,314.3041571
6/17/2013,228.0845771
6/18/2013,181.7892595
6/19/2013,220.0336563
6/20/2013,198.2791041
6/21/2013,230.557244
6/22/2013,228.4243205
6/23/2013,145.6326334
6/24/2013,217.157556
6/25/2013,224.3796758
6/26/2013,261.0806062
6/27/2013,279.1395622
6/28/2013,238.5990869
6/29/2013,223.9140379
6/30/2013,211.0553192
7/1/2013,166.3992586
7/2/2013,234.4751976
7/3/2013,262.380938
7/4/2013,271.9954333
7/5/2013,221.0299189
7/6/2013,214.566698
7/7/2013,213.9817741
7/8/2013,238.5620535
7/9/2013,259.593936
7/10/2013,210.648578
7/11/2013,207.3862565
7/12/2013,216.332488
7/13/2013,235.4736595
7/14/2013,276.9962163
7/15/2013,226.3899422
7/16/2013,205.6794905
7/17/2013,234.4743935
7/18/2013,227.4777169
7/19/2013,239.3254354
7/20/2013,192.8627933
7/21/2013,320.7052342
7/22/2013,234.1353833
7/23/2013,211.9567667
7/24/2013,217.7009356
7/25/2013,211.1071704
7/26/2013,210.8936032
7/27/2013,300.9898821
7/28/2013,448.6798419
7/29/2013,298.5123806
7/30/2013,251.0615784
7/31/2013,208.1489577
8/1/2013,189.8199459
8/2/2013,179.2021839
8/3/2013,227.4617179
8/4/2013,185.7151833
8/5/2013,221.9540142
8/6/2013,185.208538
8/7/2013,209.7640605
8/8/2013,213.4555206
8/9/2013,254.8783317
8/10/2013,222.4286315
8/11/2013,242.386735
8/12/2013,262.6752512
8/13/2013,221.8296139
8/14/2013,190.8375166
8/15/2013,289.9215844
8/16/2013,213.213835
8/17/2013,244.3523017
8/18/2013,268.5186578
8/19/2013,248.7436212
8/20/2013,316.6146637
8/21/2013,221.4326867
8/22/2013,204.0074425
8/23/2013,212.4401548
8/24/2013,273.8821751
8/25/2013,222.4937419
8/26/2013,224.9686516
8/27/2013,298.4819004
8/28/2013,250.103207
8/29/2013,199.4497079
8/30/2013,224.547328
8/31/2013,216.2360387
9/1/2013,154.0531605
9/2/2013,241.9215533
9/3/2013,201.9548747
9/4/2013,199.9869781
9/5/2013,207.6376046
9/6/2013,222.5344208
9/7/2013,274.046964
9/8/2013,190.370258
9/9/2013,232.5974824
9/10/2013,232.9287887
9/11/2013,205.4316417
9/12/2013,206.5782096
9/13/2013,215.3397
9/14/2013,254.726714
9/15/2013,379.7479523
